Pos,MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
C,25.2,0.488,0.0,0.49,0.7020000000000001,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2.0,8.6
PF,18.7,0.48100000000000004,0.382,0.511,0.762,1.1,4.4,5.6,1.1,0.6,0.4,1.1,1.9,8.5
SG,19.6,0.45299999999999996,0.391,0.496,0.813,0.4,2.1,2.5,3.1,1.1,0.2,1.7,1.7,9.6
SF,34.8,0.418,0.371,0.447,0.86,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1
PF,14.1,0.466,0.0,0.474,0.726,1.4,1.7,3.2,0.6,0.3,0.3,0.7,2.1,5.7
PF,15.1,0.413,0.39799999999999996,0.42100000000000004,0.782,1.0,2.7,3.7,0.8,0.3,0.3,0.7,1.8,4.4
SF,7.2,0.083,0.14300000000000002,0.0,0.0,0.2,0.2,0.3,0.2,0.3,0.2,0.7,0.3,0.5
C,25.6,0.589,0.0,0.589,0.5870000000000001,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3
SG,28.7,0.43200000000000005,0.345,0.47600000000000003,0.8059999999999999,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4
PG,11.6,0.377,0.35700000000000004,0.385,0.8,0.2,1.0,1.1,1.5,0.3,0.2,0.6,0.7,3.3
SG,8.8,0.36700000000000005,0.302,0.486,0.857,0.1,1.0,1.0,0.4,0.4,0.1,0.3,0.8,2.7
PF,17.7,0.6729999999999999,0.0,0.6729999999999999,0.542,1.2,2.4,3.6,0.5,0.4,1.3,0.8,1.8,6.9
C,12.5,0.516,0.0,0.519,0.447,1.1,2.7,3.8,0.7,0.4,0.4,0.7,1.3,5.9
PG,22.5,0.41,0.309,0.461,0.8320000000000001,0.4,2.2,2.6,3.8,1.4,0.2,1.8,3.0,10.3
SF,10.7,0.42700000000000005,0.316,0.49200000000000005,0.633,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,3.7
PG,13.3,0.35200000000000004,0.1,0.409,0.5760000000000001,0.3,1.1,1.4,1.8,0.3,0.0,0.6,1.7,4.8
SF,27.8,0.441,0.35700000000000004,0.502,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6
C,25.4,0.516,0.0,0.52,0.642,2.5,5.2,7.7,2.8,0.8,1.0,1.9,3.1,9.1
PG,28.5,0.439,0.4,0.45399999999999996,0.8370000000000001,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,15.7
PF,33.5,0.467,0.365,0.508,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,19.1
SF,21.2,0.457,0.28600000000000003,0.47600000000000003,0.7120000000000001,1.3,4.0,5.3,1.5,1.3,0.6,0.9,2.1,5.8
PF,19.2,0.544,0.0,0.5489999999999999,0.578,0.9,3.6,4.5,1.7,0.9,0.5,1.3,2.7,9.2
PG,35.2,0.45399999999999996,0.365,0.479,0.58,1.1,5.0,6.0,11.7,2.0,0.1,3.9,2.4,11.9
SG,14.3,0.305,0.293,0.319,0.8,0.2,1.1,1.3,0.6,0.4,0.2,0.4,1.0,3.1
